label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Crack,1917,2826,786,1587,2206915-B1.png,6100,8100
Crack,2385,1587,287,589,2206915-B1.png,6100,8100
Crack,2461,5047,242,453,2206915-B1.png,6100,8100
Crack,919,4957,2841,1013,A12S2-7G.png,6100,8100
Crack,3549,6438,1058,1315,A212S2-5G.png,6100,8100
Crack,3609,4654,529,2584,ASCOS-NEO.png,6100,8100
Crack,209,7888,635,151,ASCOS-NEO.png,6100,8100
Crack,4607,831,302,695,ASCOS-NEO.png,6100,8100
Crack,2446,15,710,1783,V2C02-NEK.png,6100,8100
Crack,2038,91,272,6045,V2C02-NEK.png,6100,8100
Crack,2838,6392,423,1693,V2C02-NEU.png,6100,8100
Crack,3488,1572,468,6528,V2C02-NEU.png,6100,8100
Crack,889,5425,1043,2584,VSCOS-V01.png,6100,8100
